ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
12,Gary,Intro Cutscene,,"Entesos, Comandant. Acostant-se a l'objectiu, senyor.","Bien reçu, mon commandant.  J'approche de la destination.","Jawohl, Commander.  Ich nähere mich dem Ziel.","Afirmativo, comandante.  Me aproximo al objetivo, señor.","Entendido, comandante.  Estou me aproximando do alvo, senhor.","Так точно, сэр.  Приближаюсь к цели.",了解です、司令官。 目標へ向かいます。,"알겠습니다, 사령관 님.  목표물에 접근하고 있습니다, 사령관 님.",收到，长官。正在接近目标，长官。,收到，長官。正在接近目標，長官。
13,Gary,Intro Cutscene,,Preparat per-,Je me prépare à...,Vorbereitung auf ...,Preparándome para...,Preparando para-,Готовимся к...,着陸にそな...,이제 착륙 준비를-,准备——,準備——
14,Mission Control,Intro Cutscene,,Gary?  Hem perdut el contacte visual.,Gary ?  Nous avons perdu le signal.,Gary?  Wir haben den Sichtkontakt verloren.,¿Gary?  Hemos perdido la imagen.,Gary?  Perdemos o contato visual.,Гэри?  Тебя не видно.,ゲイリー？ モニターが消えたぞ。,게리?  자네의 좌표가 화면에서 사라졌다.,盖瑞？我们看不见你了。,蓋瑞？我們看不見你了。
15,Gary,Intro Cutscene,,Estem caient! Agafa't fort mixeta!,"On va s'écraser !  Accroche-toi, minette !","Wir stürzen ab!  Halt dich fest, Kätzchen!","¡Estamos cayendo!  ¡Agárrate, gatita!","Estamos caindo!  Segure firme, bichana!","Мы падаем!  Держись, котеечка!",墜落する！捕まってろ、 ネコちゃん！,"추락합니다!  꽉 잡아, 나비야!",咱们要坠机了！抓牢了，小猫咪！,我們要墜機了！抓緊了，小貓咪！
16,Gary,Ship Crash Scene,,Ugggghh...,Aaaah...,Uff ...,Uffff...,Ugggghh...,Уф-ф-ф...,う、うう...,으으으윽...,呃啊啊啊啊...,呃啊啊啊啊...
17,Gary,Ship Crash Scene,,No em puc moure...,Je ne peux plus bouger...,Ich kann mich nicht bewegen ...,No puedo moverme...,Não consigo me mover...,Не могу пошевелиться...,体が...動かん...,움직일 수가 없어...,动不了了...,動不了了...
18,Gary,Ship Crash Scene,,... però encara sóc viu.,... Mais je suis en vie.,... Aber ich lebe.,... Pero estoy vivo.,... Mas estou vivo.,... По крайней мере я жив.,...だが無事だ。,... 그래도 살아남았네.,.........但我活下来了。,.........但我活下來了。
19,Gary,Ship Crash Scene,,Hola? Algú m'escolta?,Hé ? Y a quelqu'un ?,Hallo? Kann mich jemand hören?,¿Hola? ¿Me oye alguien?,Alô? Alguém está me ouvindo?,Эй? Тут кто-нибудь есть?,おーい？だれか？,여보세요? 거기 아무도 없어요?,有人吗？有人能听到吗？,有人嗎？有人能聽到嗎？
20,Kiki,Ship Crash Scene,,Meu?,Miaou ?,Miau?,¿Miau?,Miau?,Мя?,にゃん？,야옹?,喵喵？,喵喵？
21,Gary,Ship Crash Scene,,Eh?,Hein ?,Was?,¿Eh?,Ahn?,А?,うん？,응?,哈？,蛤？
22,Gary,Ship Crash Scene,,Kiki! La meva mixeta!,Kiki ! Ma minette !,Kiki! Mein Kätzchen!,¡Kiki! ¡Mi gatita!,Kiki! Minha gatinha!,Кики! Котофейка моя!,キキ！生きてたか！,나비야! 우리 고양이!,琪琪！我的小猫咪!,琪琪！我的小貓咪!
23,Gary,Ship Crash Scene,,Tinc males notícies Kiki.,"J'ai une mauvaise nouvelle, Kiki.","Ich habe schlechte Neuigkeiten, Kiki.","Tengo malas noticias, Kiki.","Tenho más notícias, Kiki.","Плохо дело, Кики.",まずいことになった、キキ。,"안 좋은 소식이 있단다, 나비야.",有坏消息给你啊，琪琪。,有壞消息要告訴你，琪琪。
24,Gary,Ship Crash Scene,,Estic atrapat dins la nau.,Je suis coincé dans le vaisseau.,Ich stecke in diesem Schiff fest.,Estoy atrapado en esta nave.,Estou preso dentro desta nave.,Мне из корабля никак не выбраться.,わたしはこの船から出られない。,내가 우주선에 갇히고 말았단다.,我被困在船里了。,我被困在船裡了。
25,Gary,Ship Crash Scene,,Kiki. Hauràs d'anar-hi per mi.,Kiki. Tu vas devoir aller chercher de l'aide.,Kiki. Du wirst an meiner Stelle losgehen müssen.,Kiki. Tendrás que ir por mí.,Kiki. Você vai ter que ir no meu lugar.,Кики. Теперь ты главная.,キキ、今やおまえだけが頼りだ。,나비야. 네가 날 대신해서 움직여줄 수 있겠니?,琪琪。你得替我完成任务了。,琪琪。你得替我完成任務了。
26,Kiki,Ship Crash Scene,,MEU!,MIAOU !,MIAU!,¡MIAU!,MIAU!,МЯ!,にゃおん！,야옹!,喵喵！,喵喵！
27,Gary,Ship Crash Scene,,DE DEBÒ ESTIC PARLANT AMB UN GAT?!?!,JE SUIS VRAIMENT EN TRAIN DE PARLER À UN CHAT ?,REDE ICH GERADE WIRKLICH MIT EINER KATZE?!?!,¡¿EN SERIO ESTOY HABLÁNDOLE A UNA GATA?!,ESTOU REALMENTE CONVERSANDO COM UMA GATA?!?!,"ГОСПОДИ, Я ВЫДАЮ ЦЕННЫЕ УКАЗАНИЯ КОШКЕ.",わたしはネコと話しているのか？！？！,내 가  정 말  고 양 이 랑  대 화 를  하 는  건 가 ? ! ? !,我真的是在跟一只猫认真交谈吗？！,我真的是在跟一隻貓認真交談嗎？！
28,Gary,Ship Crash Scene,,"Perdona'm, mixeta. Estan a punt d'ascendir-me.","Désolé, Kiki. J'étais sur le point d'être promu.","Tut mir leid, Kätzchen. Ich stehe vor einer Beförderung,","Lo siento, gatita. Están a punto de ascenderme","Desculpe, bichana. Estou prestes a ser promovido","Прости, котенька. Просто меня вот-вот повысят,",すまない、ネコちゃん。昇級がかかっているのだ。,"미안해, 나비야. 이제 승진 직전인데...",抱歉啦，小猫咪。我眼看着就要晋升了，,抱歉啦，小貓咪。我眼看著就要晉升了，
29,Gary,Ship Crash Scene,,I no em puc permetre cap altre incident...,Je me serais bien passé d'un nouvel incident...,und kann mir kein weiteres Missgeschick erlauben ...,y no puedo permitirme otro infortunio...,e não posso sofrer outro infortúnio...,косячить сейчас никак нельзя...,ミスはもう許されない...,또 다른 불상사가 일어나선 안 돼...,担不起任何闪失...,擔不起任何閃失...
30,Gary,Ship Crash Scene,,Usualment aquestes instal·lacions tenen un vestit robòtic pilotable disponible.,Il y a souvent des mécas pilotables dans ces laboratoires de recherche.,In diesen Forschungsanlagen gibt es meist einen steuerbaren Sicherheitsmech.,En estas instalaciones suele haber un meca de seguridad pilotable.,Essas instalações costumam ter uma armadura robótica de segurança pilotável.,Обычно на таких станциях есть управляемые робокостюмы защиты.,こうした研究施設では、セキュリティ用のバトルスーツを常備している。,이런 연구시설엔 보통 보안용으로 사용할 수 있는 메크가 있기 마련이야.,这种研究机构通常会存着一个可驾驶的守卫机甲。,這種研究機構通常會存著一個可駕駛的守衛機甲。
31,Gary,Ship Crash Scene,,A veure si en trobem cap.,Ce serait bien qu'on en trouve un.,"Lass uns sehen, ob wir einen finden.",A ver si lo encontramos.,Vamos ver se encontramos alguma.,Давай поищем такой?,近くにないか、探してみるんだ。,어디 한번 찾아보도록 하자.,咱们找找看吧。,我們找找看吧。
32,Gary,Ship Crash Scene,,Et guiaré mitjançant la ràdio del teu collaret.,Je te guiderai à l'aide de la radio dans ton collier.,Ich werde dich über dein Funkhalsband führen.,Te ayudaré guiándote a través de la radio de tu collar.,Eu guiarei você através do rádio na sua coleira.,Я буду с тобой говорить через приемник в ошейнике.,おまえのカラーシーバーで 指示を送ろう。,나는 무전 목걸이를 통해 도와주도록 할게.,我会通过你的无线电项圈引导你的。,我會通過你的無線電項圈引導你的。
33,Gary,Ship Crash Scene,,Assegura't d'estar atenta per escoltar la meva veu.,Écoute bien ma voix.,Hör einfach auf meine Stimme.,Presta atención a mi voz.,"Então, fique sempre atenta à minha voz.","Ты, главное, слушайся меня.",ちゃんと言うことを聞くんだぞ。,내 목소리를 잘 들어줘.,只要你好好听我说，就没问题。,只要你好好聽我說，就沒問題。
34,Gary,Ship Crash Scene,,Bona sort.,Bonne chance !,Viel Glück!,Buena suerte.,Boa sorte.,"Ну, понеслась.",幸運を祈ろう。,행운을 빌게.,祝你好运。,祝你好運。
35,Gary,Ship Crash Scene,,"Ai, la meva mixeta!","C'est bien, minette !",Braves Kätzchen!,¡Gatita buena!,Boa menina!,Хорошая киса!,いいぞ、ネコちゃん！,잘해봐 나비야!,乖猫咪!,乖貓咪!
36,Gary,Found Powersuit Scene,,"Bona feina, Kiki!","Bien joué, Kiki !","Gut gemacht, Kiki!","¡Buen trabajo, Kiki!","Muito bem, Kiki!","Умница, Кики!",よくやったぞ、キキ！,"아주 잘했어, 나비야!",干得漂亮，琪琪！,幹得漂亮，琪琪！
37,Gary,Found Powersuit Scene,,Puja't a la plataforma per posar-te el vestit..,Grimpe sur cette plateforme pour t'équiper.,"Tritt auf diese Plattform, um den Anzug anzulegen.",Sube a esa plataforma para ponerte el traje.,Suba na plataforma para vestir o traje robótico.,А теперь залезай на платформу...,あの台に乗って、スーツを着るんだ...,그 위로 올라가서 슈트에 들어가봐...,站到那平台上面就能装备上了。,站到那平臺上面就能上裝備了。
38,Gary,Found Powersuit Scene,,"Mira't, Kiki! Per algun motiu et queda bé...","Magnifique, Kiki ! Cette combinaison te va à merveille !","Sieh mal einer an, Kiki! Er scheint irgendwie zu passen ...","¡Qué pinta tienes, Kiki! Curiosamente, te queda bien...","Olha só você, Kiki! Coube direitinho...",Вы только гляньте! Он на тебя даже налез...,やったな、キキ！サイズもぴったりだ...,"멋져, 나비야! 아주 잘 맞는데...",瞧瞧你呀，琪琪！怎么这么合身呢......,看看你，琪琪！怎麼這麼合身呢......
39,Gary,Found Powersuit Scene,,Pitja [BTN_EJECT] quan vulguis sortir.,Appuie sur [BTN_EJECT] pour en sortir.,Drücke zum Ablegen [BTN_EJECT].,Pulsa [BTN_EJECT] cuando quieras salir.,Pressione [BTN_EJECT] quando quiser sair do traje.,"Если захочешь вылезти, то нажми [BTN_EJECT].",スーツを脱ぐときは[BTN_EJECT]を押せ。,[BTN_EJECT] 버튼을 누르면 슈트 밖으로 나갈 수 있어.,想脱的时候按[BTN_EJECT]键就好。,想脫的時候按[BTN_EJECT]鍵就好。
40,Gary,Found Powersuit Scene,,Ara que estàs equipada...,Maintenant que tu es parée...,Jetzt da du ausgerüstet bist ...,Ahora que estás equipada...,Agora que você está equipada...,"Так, с этим разобрались...",装備がととのったところで...,이제 장비를 갖췄으니...,该装备的也装备上了......,該裝備的也裝備上了......
41,Gary,Found Powersuit Scene,,És l'hora de descobrir que va passar aquí.,On va essayer de comprendre ce qui s'est passé ici.,"ist es an der Zeit herauszufinden, was hier passiert ist.",Es hora de averiguar qué ha pasado aquí.,É hora de descobrirmos o que aconteceu aqui.,"Теперь надо выяснить, что за ерунда тут творится.",施設内の調査にかかるとしよう。,여기서 무슨 일이 일어난 건지 알아낼 시간이야.,是时候搞清楚发生了什么了。,是時候搞清楚發生了什麼事。
42,Gary,Found Powersuit Scene,,Bona gata!,"Bien, minette !",Braves Kätzchen!,¡Gatita buena!,Boa menina!,Хорошая киса!,いいぞ、ネコちゃん！,잘해보자 나비야!,乖猫咪!,乖貓咪!
43,Gary,Cat Scared of Water Scene,,"Que passa res, Kiki?","Qu'est-ce qu'il y a, Kiki ?","Stimmt etwas nicht, Kiki?","¿Ocurre algo, Kiki?","O que foi, Kiki?","Что такое, Кики?",どうした、キキ？,"뭔가 문제라도 있어, 나비야?",有什么不对劲吗，琪琪？,有什麼不對勁嗎，琪琪？
44,Gary,Cat Scared of Water Scene,,Kiki! No em diguis que et fa por l'aigua...,Kiki ! Ne me dis pas que tu as peur de l'eau...,"Kiki! Sag bloß, du hast Angst vor dem bisschen Wasser ...",¡Kiki! No me digas que te asustas por un poco de agua...,Kiki! Não me diga que está com medo de um tiquinho de água...,"Кики! Ты что, водички испугалась?",キキ！まさか水が怖いのか...,나비야! 물을 무서워하는 거야...?,琪琪！可别告诉我那么一点水你也怕......,琪琪！可別告訴我那麼一點水你也怕......
45,Kiki,Cat Scared of Water Scene,,Meu.,Miaou.,Miau.,Miau.,Miau.,Мяф.,みゃおん。,야옹.,喵喵。,喵喵。
46,Gary,Cat Scared of Water Scene,,"És l'única manera d'avançar, Kiki.","C'est le seul moyen, minette.","Es ist der einzige Weg, der weiterführt, Kiki.","Es el único camino, Kiki.","É o único caminho, Kiki.","А по-другому никак, котофеище.",だが、ほかに道はない。,"하지만 길은 여기뿐이야, 나비야.",往前走只有这么一条路，琪琪。,往前走只有這麼一條路，琪琪。
47,Gary,Cat Scared of Water Scene,,"Hi hauràs d'entrar, Kiki. Vulguis o no...","Tu vas devoir plonger, Kiki. D'une façon ou d'une autre...","Du musst da reingehen, Kiki. Auf die eine oder andere Art ...","Tienes que meterte ahí, Kiki. De una forma o de otra...","Você tem que entrar aí, Kiki. De um jeito ou de outro...","Придется лезть в воду. Не мытьем, так катаньем...",そこを通っていくしかないぞ、キキ。 どうにかうまく...こう...,"어떻게든 여길 지나가야만 해, 나비야...",你必须进去，琪琪。要么你自己进，要么......,你必須進去，琪琪。要麼你自己進，要麼......
48,Gary,Cat Scared of Water Scene,,BU!,BOUH !,BUH!,¡BU!,BU!,БУ!,どどーん！,왁!,哇呀呀！,哇呀呀！
49,Kiki,Boss 1 Intro,,Meu?,Miaou ?,Miau?,¿Miau?,Miau?,Мяф?,にゃん？,야옹?,喵喵？,喵喵？
50,Gary,Boss 1 Intro,,...?,... ?,... ?,¿...?,...?,..?,...？,...?,...？,...？
51,Kiki,Boss 1 Intro,,Marrameu?,Miaou ?,Mrrau?,¿Mñao?,Prruau?,Мря?,みゃおん？,냐앙?,喵喵？,喵喵？
52,Mouse,Boss 1 Intro,,CRIII!!,COUIIIC !!,QUIIIEK!,¡¡IIIIIK!!,SQUIIIIIK!,ПИ-И-И-И!!,チューッッッッッツ！！,찌이이이익!!,吱吱吱！！,吱吱吱！！
53,Gary,Boss 1 Intro,,Què són aquests xisclets?,C'est quoi ce bruit ?,Was quiekt da so?,¿De dónde sale ese chillido?,Que chiadinho é esse?,Что это там пищит?,今のチューチュー音はいったい？,그 찍찍거리는 소리는 뭐야?,什么东西吱吱喳喳的？,什麼東西吱吱喳喳的？
54,Gary,Boss 1 Intro,,Kiki! Tinc un mal pressentiment!,Kiki ! J'ai un mauvais pressentiment !,Kiki! Ich hab ein ganz schlechtes Gefühl!,¡Kiki! ¡Esto me da mala espina!,Kiki! Estou com um mau pressentimento!,Кики! У меня очень плохое предчувствие!,キキ！イヤな予感がする！,나비야! 뭔가 느낌이 좋지 않은데!,琪琪！我感觉不太妙！,琪琪！我感覺不太妙！
55,Mouse,Boss 1 Intro,,CRIIIIIII!!,COUIIIIIIIIIIIIIC !!,QUIIIIIIIIIIIIIIIEK!,¡¡IIIIIIIIIIK!!,SQUIIIIIIIIIIIIIIII!!!,ПИ-И-И-И!!,チュチュチュチューッッッッッ！！,찌이이이이이이이익!!,吱吱吱吱！！,吱吱吱吱！！
56,Mouse,Boss 1 Outro,,Crii iiii!!!,Couic !,Quiiiek!!!,¡¡¡Kuiiii!!!,Skriiiiiii!!!,И-И-И-И!!!,チューッ！,찌이익!!!,吱吱！！,吱吱！！
57,Mouse,Boss 1 Outro,,Ai!,Aïe !,Autsch!,¡Ay!,Ai!,Ай!,あいたっ！,아야!,哎呀！,哎呀！
58,Mouse,Boss 1 Outro,,Vull dir... cri.,Je veux dire... couic.,Ich meine ... quiek.,Quiero decir... Iik.,Quer dizer... squik.,То есть нет... пи-пи-пи.,じゃなくて...チュチュチュ。,아야가 아니라... 찍찍.,哦不是......吱吱。,哦不是......吱吱。
59,Kiki,Boss 1 Outro,,...Meu?,Miaou... ?,... Miau?,... ¿Miau?,...Miau?,...мям?,...みゃおん？,...야옹?,......喵喵喵？,......喵喵喵？
60,Gary,Boss 1 Outro,,Emm... Aquell ratolí acaba de parlar... ?,Euh... La souris vient de parler...?,Äh ... Hat die Maus gesprochen ...,Eeh... ¿Ese ratón ha hablado?,Ahn... Esse rato falou ou é impressão minha?,"Э-э-э... Славно, говорящая мышь...",むむむ...今ネズミが しゃべったような...,어... 방금 쥐가 말한 건가...?,那个......刚才那个老鼠说人话了？,那個......剛才那個老鼠說人話了？
61,Gary,Boss 1 Outro,,... Dec haver perdut més sang del que em pensava...,... Je dois avoir perdu beaucoup de sang...,... Ich habe anscheinend eine Menge Blut verloren ...,... Parece que he perdido mucha sangre...,... Eu devo ter perdido muito sangue...,"... Похоже, я потерял больше крови, чем думал...",...わたしはそこまで 血を失っているのか...,... 아무래도 내가 피를 너무 많이 흘려서 헛것이 들렸나 봐...,.........看上去我有点失血过多了......,.........看上去我有點失血過多了......
62,Gary,Boss 1 Outro,,"Segueix endavant, mixeta. Compto amb tu.","Continue, minette. Je compte sur toi.","Geh weiter, Kätzchen. Ich zähle auf dich.","Sigue adelante, gatita. Cuento contigo.","Continue em frente, bichana. Estou contando com você.","Давай, киса, пойдем дальше. Я на тебя очень рассчитываю.",先を急ごう、ネコちゃん。 おまえだけが頼りだ。,"계속 이동해줘, 나비야. 지금 내겐 너만이 유일한 희망이야.",继续前进吧，小猫咪。就指着你了。,繼續前進吧，小貓咪。就指著你了。
63,Gary,Nexus Begin,,"Ben fet, Kiki... has arribat al Nexe!","Bien, Kiki... tu as atteint le centre de contrôle !","Gut gemacht, Kiki ... du hast den Nexus erreicht!","Muy bien, Kiki... ¡Has llegado al nexo!","Boa, Kiki... você chegou ao Nexus!","Отлично, Кики, ты добралась до Нексуса.",やったな、キキ...ネクサスに たどり着いた！,"잘했어, 나비야... 넥서스에 도착했구나!",太棒了，琪琪......你到达了新星中心！,太棒了，琪琪......你到達了新星中心！
64,Gary,Nexus Begin,,Tots els camins arriben aquí. Pensa que és com una mena de...,Tous les chemins passent par ici. C'est une sorte de...,Alle Wege führen hierher. Stell ihn dir als ...,Todos los caminos conducen aquí. Es una especie de...,É a interseção de todos os caminhos. É como se fosse...,Все дороги ведут сюда. Это такое...,すべての道はここへ通ずる。一種の...,넥서스는 모든 곳과 이어진 장소야. 간단하게 말하자면... 음...,所有道路都通往这里。你就把这当做......,所有道路都通往這裡。你就把這當做......
65,Gary,Nexus Begin,,Control... central.,Centre... opérationnel.,Knotenpunkt vor ... So etwas in der Art.,control central... Algo así.,Uma espécie de... Central.,"Ядро, что ли... Если можно так выразиться.",ハブ...だと思ってくれ。,중심지... 라고 생각하면 돼.,一个枢纽吧......算是个枢纽。,一個樞紐吧......算是個樞紐。
66,Gary,Nexus Begin,,De totes maneres...,Bref...,Wie dem auch sei ...,Bueno...,Enfim...,Но не суть...,とにかくまあ...,어쨌든...,反正......,反正......
67,Gary,Nexus Begin,,Hem de trobar l'entrada al laboratori.,Il faut trouver l'entrée du laboratoire.,Wir müssen den Eingang zum Labor finden.,Tenemos que encontrar la entrada del laboratorio.,Precisamos achar a entrada do Laboratório.,Нужно найти вход в лабораторию.,ラボの入口を探すんだ。,실험실 입구를 찾아야 해.,我们需要找到实验室的入口。,我們需要找到實驗室的入口。
68,Gary,Nexus Begin,,"Ànims, Kiki!","Tu peux y arriver, Kiki !","Schauen wir mal, was du drauf hast, Kiki!","¡A ver qué sabes hacer, Kiki!","Vamos ver o que temos aí, Kiki!","Давай, Кики, я в тебя верю.",期待しているぞ、キキ！,"어디 한번 해보자, 나비야!",瞧瞧你的能耐吧，琪琪！,瞧瞧你的能耐吧，琪琪！
69,Gary,PC Progress Incomplete,,"Hmm... Aquest és l'ordinador de control... Hola, ordinador.","Hmm... C'est l'ordinateur de contrôle... Salut, l'ordinateur.","Hmm ... Das ist der Hauptrechner ... Hallo, Computer.","Mmm... Este es el PC principal... Hola, PC.","Hummm... Este é o PC principal. Olá, PC.","Хм-м-м... Это - главный компьютер... Ну привет, компьютер.",ふむ...こいつがメイン コンピュータか...やあ、PC。,"흠... 이건 메인 PC네... 안녕, PC.",唔...这就是主机了...你好，电脑。,嗯...這就是主機了...你好，電腦。
70,PC,PC Progress Incomplete,,De debò?,Vraiment ?,Echt jetzt?,¿En serio?,Sério?,Серьезно?,え、本気で言ってるの？,진심으로 인사하는 거예요?,你开玩笑吗？,你開玩笑嗎？
71,PC,PC Progress Incomplete,,"No cal que em saludis com si fos de la teva espècie, Humà.",Inutile de me parler comme si j'étais un humain.,"Du musst mich nicht grüßen, als ob ich einer deiner Artgenossen wäre, Mensch.","No tienes que saludarme como si fuera de tu especie, humano.","Não precisa me cumprimentar como se eu fosse da sua espécie, humano.","Не нужно обращаться ко мне так, словно я один из вас, человек.",パソコンにあいさつする必要はないわ、人間。,"절 애완동물 다루듯 인사하실 필요 없어요, 인간.",别跟我像自己人一样打招呼，人类。,別自以為我們很熟，人類。
72,Gary,PC Progress Incomplete,,Emm...,Euh...,Äh ...,Mmm...,Hummm...,Эм-м-м...,むむむ...,어...,唔...,嗯...
73,PC,PC Progress Incomplete,,Anem per feina. Veus aquests senyals?,Venons-en au fait. Vous voyez ces signaux ?,Kommen wir zum Punkt. Siehst du diese Zeichen?,Vamos al grano. ¿Ves estos signos?,Vamos ao que interessa. Está vendo estes sinais?,"Ладно, сразу к делу. Видишь этот знак?",要点だけ言うわね。このマークが見えるかしら？,본론으로 들어가죠. 이 신호들이 보이시나요?,咱们长话短说吧。看见这些标志没有？,我們長話短說吧。看見這些標誌沒有？
74,Gary,PC Progress Incomplete,,"Tampoc cal ser condescendent, ordinador. Sí, els puc veure.","Bien sûr que je les vois, je ne suis pas aveugle.","Du musst ja nicht gleich herablassend werden, Computer. Ja, ich sehe sie.","No hace falta que seas condescendiente, PC. Sí, los veo.","Não precisa ser condescendente, PC. Claro que estou vendo.","А можно еще более снисходительным тоном? Да, вижу.",バカにするな、PC。ああ、見えるとも。,"잘난 척하지 마, PC. 잘 보여.",用不着这么趾高气昂，电脑。我长眼睛了。,用不著這麼趾高氣昂，電腦。我有眼睛。
75,PC,PC Progress Incomplete,,"Molt bé, humà. Doncs aquest senyal vol dir 'espatllat'.",C'est très bien ! Ce symbole signifie qu'il y a une panne.,"Sehr gut, Mensch. Also, dieses Zeichen bedeutet 'kaputt'.","Muy bien, humano. Pues este signo significa «averiado».","Muito bem, humano. Bem, este sinal significa ""quebrado"".","Отлично, человек. Этот знак означает поломку.",それはよかったわ、人間。でね、この マークは「故障中」って意味なの。,"아주 잘했어요, 인간. 음, 이 표시는 '고장' 난 상태라는 걸 의미해요.","很好，人类。这个标志意思是""已损坏""。","很好，人類。這個標誌意思是""已損壞""。"
